taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2398600	Neoglyphidodon melas (Cuvier, 1830)	2398600	Neoglyphidodon melas (Cuvier, 1830)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Pomacentridae	4499	Neoglyphidodon	2398574	Neoglyphidodon melas	2398600	NE
2461030	Saproscincus challengeri (Boulenger, 1887)	2461030	Saproscincus challengeri (Boulenger, 1887)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Scincidae	9115	Saproscincus	2461004	Saproscincus challengeri	2461030	LC
2498056	Anas Linnaeus, 1758	2498056	Anas Linnaeus, 1758	54	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Anas	2498056			NE
2708023	Chorizandra sphaerocephala R.Br.	2708023	Chorizandra sphaerocephala R.Br.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Chorizandra	9598021	Chorizandra sphaerocephala	2708023	NE
2888740	Centranthus ruber (L.) DC.	2888740	Centranthus ruber (L.) DC.	11	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Dipsacales	946	Caprifoliaceae	6710	Centranthus	8069836	Centranthus ruber	2888740	NE
3761383	Goodenia heterophylla subsp. eglandulosa Carolin	3761383	Goodenia heterophylla subsp. eglandulosa Carolin	2	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Goodeniaceae	3113	Goodenia	7262160	Goodenia heterophylla	7262211	
3836178	Leionema dentatum (Sm.) Paul G.Wilson	3836178	Leionema dentatum (Sm.) Paul G.Wilson	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Rutaceae	2396	Leionema	7269353	Leionema dentatum	3836178	NE
3850172	Dysoxylum gaudichaudianum (Juss.) Miq.	3851516	Didymocheton gaudichaudianus A.Juss.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Meliaceae	2397	Didymocheton	7271381	Didymocheton gaudichaudianus	3851516	LC
4009770	Acrotriche patula R.Br.	4009770	Acrotriche patula R.Br.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Acrotriche	7288458	Acrotriche patula	4009770	NE
4731984	Dicranosterna Motschoulsky, 1860	4731984	Dicranosterna Motschoulsky, 1860	14	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Dicranosterna	4731984	Dicranosterna immaculata		
4778086	Dysdercus decussatus Boisduval, 1835	4778086	Dysdercus decussatus Boisduval, 1835	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pyrrhocoridae	7895	Dysdercus	2012168	Dysdercus decussatus	4778086	NE
